Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Жальменiна","Go_A","#Ідиназвук","Favorite Songs","Favorite","QM4TW2113816","4WDasHtnmPeZr17S2OvFKH"
"Probably End Up Dead in a Ditch Somewhere","Nero's Day At Disneyland","From Rotting Fantasylands","Favorite Songs","Favorite","QM2PV1876729","6MS5vHNqDEaSrawDU9W3IL"
"Choke - Original","Hybrid","I Choose Noise","Favorite Songs","Favorite","GBJRQ0600062","3ZKL0gz5kBQdHMCNimiNFd"
"Imagine Siblings","No Buses","Imagine Siblings / Number Four or Five‬ / Trying Trying","Favorite Songs","Favorite","JPP302000124","7AeBTIROhr9YpDXsvDB4Cv"
"Original Prankster","The Offspring","Conspiracy Of One","Favorite Songs","Favorite","USSM10015828","6gfDXAX85YWdVwxpbz0npv"
"HEX OF PINK FF006E","MiatriSs","HEX OF PINK FF006E","Favorite Songs","Favorite","FRX762338033","4kzYMWYfc2I7tcpkAdB6t5"
"Symphony Of Destruction","Megadeth","Greatest Hits: Back To The Start","Favorite Songs","Favorite","USCA20400616","4YJZjINIhakR98fnz1Pvup"
"Sur la planche 2013","La Femme","Psycho Tropical Berlin","Favorite Songs","Favorite","FR9W11215240","1su9FWmWVgf71pqY78k5Ib"
"Dead Disco Dancer","O. Children","O Children","Favorite Songs","Favorite","GB4BW0900003","7zH7o0YuTjhaFNtaVBj7y2"
"The Perfect Drug","Nine Inch Nails","Lost Highway","Favorite Songs","Favorite","USIR19701160","14tKBoKXxGakkoEmYuFfor"
"Riptide","Vance Joy","Dream Your Life Away","Favorite Songs","Favorite","AULI01385760","7yq4Qj7cqayVTp3FF9CWbm"
"Salvation","The Limiñanas","Crystal Anis","Favorite Songs","Favorite","USA2Z1211334","5jV4U3EEkE5Fya0Fvlg2ze"
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack","Glenn Frey","Above The Clouds - The Collection (Deluxe)","Favorite Songs","Favorite","USMC18416576","0PXw9NKvolWTo7U9JkNzmc"
"Smashing the Opponent (XI Remix)","Infected Mushroom","Smashing the Opponent","Favorite Songs","Favorite","USA2P2016660","3yxRibx8bQUSCQAeLxhkh9"
"Parlez-Vous Francais?","Art vs Science","Art vs. Science","Favorite Songs","Favorite","AUVS31200002","0uPo3N80RRGSffA5yJNlS7"
"One More Pull","The Chalkeaters","One More Pull","Favorite Songs","Favorite","TCAHM2332275","0Y3wzTDRcJh7CTCPMlrczg"
"Blood In Alphabet Soup","Marcy Playground","MP3","Favorite Songs","Favorite","USY9M1010002","5cLxzR2sRhaCTI00qLPKpW"
"Shut Your Mouth","Garbage","Beautiful Garbage","Favorite Songs","Favorite","USIR10110719","0nkNjl1K0rWxqR0nXurzKv"
"Tetra","SebastiAn","Total","Favorite Songs","Favorite","FR0NT1100170","1flyPSDvPgC2A0jUbj4Qgz"
"WHITE","The Left Rights","Bad Choices Made Easy","Favorite Songs","Favorite","US57M1068704","6tjlsjp1WgiThHyppNqvMI"
"Rosenrot","Alligatoah","Fremde Zungen","Favorite Songs","Favorite","DEQ021802012","7dDIVopdwKqLiycKVOAO6D"
"Closer","Nine Inch Nails","The Downward Spiral (Deluxe Edition)","Favorite Songs","Favorite","USIR19400529","5mc6EyF1OIEOhAkD0Gg9Lc"
"Salvation","The Cranberries","To The Faithful Departed","Favorite Songs","Favorite","USIR29600116","1ayRJ4dlr48VJ3FK6uPq2i"
"Laura","Scissor Sisters","Scissor Sisters","Favorite Songs","Favorite","GBAKW0300782","1mSlq4Su7D3iRwpPBSqa5i"
"John the Revelator","Depeche Mode","Playing the Angel (Deluxe)","Favorite Songs","Favorite","GBAJH0501447","5SZFOK8XMVoY7mvSfTpegS"
"Bullet With Butterfly Wings - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","Favorite Songs","Favorite","USVI21200897","6GtX0jaNL8IjVQfrDBx81z"
"J'ai","Debout Sur Le Zinc","De Charybde en Scylla","Favorite Songs","Favorite","FR4R60800010","2NccJuh7xhF4L1PBh9dp7E"
"We're In This Together","Nine Inch Nails","The Fragile","Favorite Songs","Favorite","USIR19902585","3aN2V18W3EiW7eg5tHALpF"
"Song for You","Needshes","Song for You","Favorite Songs","Favorite","QM4TW2225868","7dFSxpj9XH4znyYroEmeL2"
"Nigger","Clawfinger","Deaf Dumb Blind","Favorite Songs","Favorite","SELBD9305010","1jGvgQkqQtNVj725vg26Ft"
"La Seine","Hits Variété Pop","Tubes français, Vol. 1","Favorite Songs","Favorite","FR80T1100778","5xeb3KPTknaEISffTrsYtI"
"Dead Disco","Metric","Old World Underground, Where Are You Now?","Favorite Songs","Favorite","USER80300609","0vJPVfyCJ0WwrBQ71FP23s"
"Footloose - From ""Footloose"" Soundtrack","Kenny Loggins","Footloose (15th Anniversary Collectors' Edition)","Favorite Songs","Favorite","USSM19803320","2vz1CsL5WBsbpBcwgboTAw"
"I Was Made For Lovin' You","KISS","Dynasty","Favorite Songs","Favorite","USPR39330175","07q0QVgO56EorrSGHC48y3"
"Surprise Surprise","Billy Talent","Dead Silence","Favorite Songs","Favorite","CAW111200135","5Xz0Aep86l2yafsqCtMcsh"
"Terrible Lie","Nine Inch Nails","Pretty Hate Machine","Favorite Songs","Favorite","USUM70822794","3o1nX61oecxnqXieA2ma0U"
"Head Like A Hole","Nine Inch Nails","Pretty Hate Machine","Favorite Songs","Favorite","USIR20200226","3ckd4YA4LcD3j50rfIVwUe"
"The Death Song","Marilyn Manson","Holy Wood","Favorite Songs","Favorite","USIR10001295","1w78e0reuMtEfkeWcSsNlf"
"Aggressivität","Wulfband","Wulfband","Favorite Songs","Favorite","SEYFX1400911","2OIgijtaSo9hAvJJZsLbt3"
"Go","MEG MYERS","Make a Shadow","Favorite Songs","Favorite","USAT21304723","3xBSuN8Db9L1Selumsc5xR"
"Panic Station","Muse","The 2nd Law","Favorite Songs","Favorite","GBAHT1200391","1tjHKKI0r82IB5KL29whHs"
"Slutgarden","Marilyn Manson","The Golden Age Of Grotesque","Favorite Songs","Favorite","USIR10311821","4UJO1c6MOu7CNArxoGoi18"
"Venus","Shocking Blue","At Home","Favorite Songs","Favorite","NLC286900001","0Z3xhSOhrawLV81YdiDiiJ"
"All That Glitters","Noisemaker","Noisemaker's LISA Fan-songs","Favorite Songs","Favorite","QZK6K2164889","3syzfIcScm1XsjcF9q1KIk"
"Every Day Is Exactly The Same","Nine Inch Nails","With Teeth (Bonus Tracks)","Favorite Songs","Favorite","USIR10500485","11sSvwrDX5BBUhbBZRKUxy"
"The Hand That Feeds","Nine Inch Nails","With Teeth (Bonus Tracks)","Favorite Songs","Favorite","USIR10500420","4L5r9XNiWJ7cbqcIiNvVes"
"Sweet Harmony","The Beloved","Conscience","Favorite Songs","Favorite","GBAHS0500214","5lSOVaPDk7x9Ey6c9DqGZx"
"Friendly Fire","Reigning Days","Reigning Days","Favorite Songs","Favorite","GB7Z91500032","3bgtWAfU9UXDGyhthFibOP"
"Fire Water Burn","Bloodhound Gang","One Fierce Beer Coaster","Favorite Songs","Favorite","USGF19612403","7FkyQsWH9mmxoYLCNj4f8y"
"American Pie","Don McLean","American Pie","Favorite Songs","Favorite","USEM38600088","1fDsrQ23eTAVFElUMaf38X"
"Stereo","Elephanz","Time for a Change (Deluxe Edition)","Favorite Songs","Favorite","FR9W11305565","0UNHUe2FWrSJrHoNzotXUi"
"Make Me Wanna Die","The Pretty Reckless","Light Me Up","Favorite Songs","Favorite","USUM71002835","0KGIbrNYktDXYyHopcDI2L"
"I'm Still Standing","Elton John","Too Low For Zero","Favorite Songs","Favorite","GBALX8300190","1jDJFeK9x3OZboIAHsY9k2"
"Wake Up","The Living End","State of Emergency","Favorite Songs","Favorite","AUKVO0500011","5v2s2yrWCbVIMNL01QH8p0"
"It's Dangerous to Go Alone","Starbomb","Starbomb","Favorite Songs","Favorite","USX9P1343749","0lT1dEngSSuNFiLjK5PmFy"
"Sex Is Not the Enemy","Garbage","Bleed Like Me","Favorite Songs","Favorite","USIR10500341","3Sy5gJPbILQtak2KpKFpIZ"
"Touch The Sky - From ""Brave""/Soundtrack","Julie Fowlis","Brave","Favorite Songs","Favorite","USWD11262921","5yyqx4brn6Bm9U1Rj9ENnz"
"Can't Hold Us (feat. Ray Dalton)","Macklemore","The Heist","Favorite Songs","Favorite","GMM881200021","3bidbhpOYeV4knp8AIu8Xn"
"Smelly Jelly","Gezebelle Gaburgably","The Fridge","Favorite Songs","Favorite","QZMEN2145230","4ZIp8aEeGj4s1cuRQDhhuG"
"Gimme More (sid)","Machinae Supremacy","Overworld","Favorite Songs","Favorite","FIUM70700940","1KfjGJU2FWTbFM93jef5zg"
"Metro","The Jins","It's a Life","Favorite Songs","Favorite","CAB392203384","2DPqiYSlAtOJUls7gBfHzX"
"Punks Not Dead","Little Big","Antipositive, Pt. 1","Favorite Songs","Favorite","FR2X41851399","5B2So8WkgwWBSIJ6ts0Kmc"
"Push It","Garbage","Anthology","Favorite Songs","Favorite","GB5KW2202081","1PmWMOB1KG3RBDrl3za1Ij"
"I Think I'm Paranoid (2018 Remaster)","Garbage","Version 2.0 (20th Anniversary Deluxe Edition)","Favorite Songs","Favorite","USAL19800023","47YEvXHvRjQqKcx7l79xvr"
"врать тебе","zeekayo","свет в твоем окне","Favorite Songs","Favorite","FRX202290283","0XtXt0jqOSe3JpdPsHvkaS"
"No Roots","Alice Merton","Mint","Favorite Songs","Favorite","DEVQ71600001","3D5wnLaeVlCCIPzQOOAirA"
"Rolling in the Deep","Adele","21","Favorite Songs","Favorite","GBBKS1000335","4OSBTYWVwsQhGLF9NHvIbR"
"Sweet Sway","Canine","Dune","Favorite Songs","Favorite","FRUM71801605","3XxDXeKEIXx4RmbHtCX8F5"
"Death in the Candystore","Major Parkinson","Major Parkinson","Favorite Songs","Favorite","NOAPI0808100","2HWZCv7H3VHrDppAxJ5uvk"
"Made","Battle Tapes","Sweatshop Boys - EP","Favorite Songs","Favorite","TCABF1236046","1du0xaWpgoDaAzq6jDIUMa"
"I'm Broken","Blues Saraceno","Post Grunge","Favorite Songs","Favorite","GBBPP1509909","0cDsCoEE2bBzOK9enB5P8m"
"Lo malo de ser bueno","El Cuarteto De Nos","Porfiado","Favorite Songs","Favorite","ARF111200008","7xB3hSztVbX6xFvQqEGKud"
"Toxic","Mushmellow","Hollow Memories","Favorite Songs","Favorite","QM6MZ1772644","3cQnNkEaRy83VSrjniZoQd"
"It Gets Worse","Mindless Self Indulgence","How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence","Favorite Songs","Favorite","US57M1386903","3vdiOZC3opQmVvuXIPh4eg"
"Man Alive!","Billy Talent","Dead Silence","Favorite Songs","Favorite","CAW111200140","01VQ4zRPi5hgkHq62Xw8S5"
"Antibiotics","The Reytons","Kids Off The Estate","Favorite Songs","Favorite","FR96X2141381","6B359EQSikGr3qazEfOsBf"
"Mind the Gap","The Reytons","Kids Off The Estate","Favorite Songs","Favorite","FR96X2163927","52BKQOZKiMLcZCZmsKM76w"
"Doe Deer - 12"" Version","Crystal Castles","Crystal Castles (II)","Favorite Songs","Favorite","GBUM71001128","1Oq4Uft00HG1Q2QJWJ9seW"
"Something You Might Like - Live At Ancienne Belgique, Brussels / 2016","Puggy","Colours (Deluxe)","Favorite Songs","Favorite","FRUM71602050","1SycN0VZye3OFsEzwZoirx"
"When You Know","Puggy","Love songs 2000s","Favorite Songs","Favorite","FRUM70903141","6CvrMlDIruxE641kIkBIj7"
"Song 2","Skip the Use","Sound From The Shadow","Favorite Songs","Favorite","FRUM71101369","5DoV9PMMnXiM2vyKePuGBX"
"Worriers","The 5:55","Focus Moron","Favorite Songs","Favorite","GBKPL2177251","4pHkaoWRkUVFrJDRHd19fW"
"Girl Anachronism","The Dresden Dolls","The Dresden Dolls","Favorite Songs","Favorite","NLA320420775","6Zbv79YWB0iZSXwIwEsIOP"
"Outta My Head","I Hate Kate","Embrace the Curse","Favorite Songs","Favorite","USYAH0700057","4YVjx91bOpNT9a7PFB1n5F"
"New Cold War","JAXSON GAMBLE","Casual Anarchy","Favorite Songs","Favorite","USA2P1901066","7KGbWmz8xbGQNC1cFER3cK"
"Munchausen by Proxy","Major Parkinson","Munchausen by Proxy","Favorite Songs","Favorite","NO2MD1801010","0MNgjMosYiUBXiLyhfePtJ"
"She Said","The Jins","She Said","Favorite Songs","Favorite","CAB391802302","5xpnUdjwBuyW5iWrT1RGoZ"
"Friends In Low Places","Worthikids","Friends In Low Places","Favorite Songs","Favorite","QZHNC2120323","0utX75FqMJKaK8V2D1WwNY"
"Technologic","Daft Punk","Human After All","Favorite Songs","Favorite","GBDUW0400109","1iNeZGJsoC0D7ZyJTdIbDS"
"Good Morning, Captain","Slint","Spiderland","Favorite Songs","Favorite","USTG39106406","1BNZMXjqqULiV0DmFU1B8S"
"Where You End","Moby","Hotel","Favorite Songs","Favorite","GBAJH0403052","3qfN6VeOvrmPVLn66eA9v4"
"Blitz It - Splatoon Cover","MiatriSs","Blitz It","Favorite Songs","Favorite","FRX201813490","47dVIqs370Vvjw3nCF4QPJ"
"Grow Back","The Happy Fits","Concentrate","Favorite Songs","Favorite","GBMJG1807816","4UUyaFZ4Lul1Va3yI1pIDF"
"The Battle of Lil' Slugger (Ch 1 Boss)","Danny Baranowsky","Super Meat Boy! - Official Special Edition Soundtrack","Favorite Songs","Favorite","TCABD1110282","7D07YUQSSUsT88l6NzcTfk"
"Retro Emporium","The Reytons","Retro Emporium","Favorite Songs","Favorite","GBMA22012976","1AAtrXSe2bI1ExqxxusBDO"
"Starkiller","Bear Ghost","Blasterpiece","Favorite Songs","Favorite","TCACL1682269","7azVZvIvANuD4sLlwqs2g2"
"The Dark Of The Matinée","Franz Ferdinand","Franz Ferdinand","Favorite Songs","Favorite","GBCEL0300193","6gaWfLDoeG1eoiDAVBN4i8"
"Ladikerfos","Keygen Church","░█░█░░█░█░█░","Favorite Songs","Favorite","TCAFN2103664","669IzIlxoVQI5NM07pAqUt"
"I Think We're Alone Now","Tiffany","Tiffany","Favorite Songs","Favorite","USMC18722580","4uvjOKsp7mSjrDhWdkLPBY"
"Used to the Darkness","Des Rocs","Let the Vultures In","Favorite Songs","Favorite","GBKPL1805608","3SemJVQCsUo0K3QGN7pIXu"
"Red Smoke","The Reytons","Red Smoke","Favorite Songs","Favorite","FRX872057663","1FQvepTcu752oQgf6FYgRW"
"Diamond Dust","Suduaya","Venus","Favorite Songs","Favorite","USHM81674456","4B5nlCNwdxBp3RZ3nt42E5"
"Acid Mountain","Moon Hooch","Acid Mountain","Favorite Songs","Favorite","QMVQS1800001","3prlbHPeEgLmUihLu5twTc"
"Seven Nation Army","The BossHoss","Internashville Urban Hymns","Favorite Songs","Favorite","DEN120504010","0iVzkQePROHMMkx86IZhlw"
"Stressed Out - Rock","Our Last Night","Stressed Out (Rock)","Favorite Songs","Favorite","GBDMT1600032","4Bxl1qty34HSOKZrRjyj0s"
"This Hurts","Mindless Self Indulgence","PINK","Favorite Songs","Favorite","US57M1599902","6ZJKiScaIdJ70XVKq5K73m"
"Abwärts","Unheilig","Lichterland - Best Of (Deluxe)","Favorite Songs","Favorite","DEUM70906195","2FvrCXbaZRNX0HiyCInd5a"
"Along Comes Mary","Bloodhound Gang","Hooray For Boobies","Favorite Songs","Favorite","USMC19757291","5YpWUYiyidrtRzYedpXKiU"
"Asking for It","Shinedown","Threat to Survival","Favorite Songs","Favorite","USAT21502572","3Tp7y0bLogDQsIO5tTTOH4"
"Good L_ck (Yo_'re F_cked)","Celldweller","End of an Empire (Deluxe Edition)","Favorite Songs","Favorite","QM6N21456661","4qJrDTPDsQqaYGKMj0Thjk"
"Delay Lama - Paul & Price Remix","Modwheelmood","Things Will Change - Remixes","Favorite Songs","Favorite","US25T9922101","0itQ0ANQa5aIvks0NvL4zn"
"Lost In Bonerland","Nero's Day At Disneyland","Attention Shoppers","Favorite Songs","Favorite","USA370575005","4nWDAlLa5FZPWRoMZijVRH"
"Ain't My Bitch","Metallica","Load","Favorite Songs","Favorite","GBAMC9600007","3QWzxUE2WA5WoSi82KCODk"
"Stand Up","The Rumpled","Toss the Coin","Favorite Songs","Favorite","QM4TX2000560","5YmZ8wmqrZulmgtOfLHAnx"
"Lasers And Stuff","Tigerblood Jewel","Torpedo","Favorite Songs","Favorite","SE5Q51829134","79JcRkD3piZpXmLavBId0u"
"Weapon Of Choice","Black Rebel Motorcycle Club","Baby 81","Favorite Songs","Favorite","GBUM70701935","6vqUXQkiGmU1ehVkCUJF2z"
"Lost Cause","Black Pistol Fire","Deadbeat Graffiti","Favorite Songs","Favorite","USQY51769643","7ne867SdHbopGYjxVNyRFM"
"Low (feat. T-Pain) - Travis Barker Remix","Flo Rida","Low (feat. T-Pain)","Favorite Songs","Favorite","USAT20706976","6Lcyt4TwAZ35UrTrr4t2hl"
"Traitor Punks, Gtfo","Mick Gordon","Wolfenstein II: The New Colossus Original Game Soundtrack","Favorite Songs","Favorite","QMTH31700192","0dNWSTIgZPEUkICI9PjjO1"
"Right Trigger Warning","Mick Gordon","Wolfenstein II: The New Colossus Original Game Soundtrack","Favorite Songs","Favorite","QMTH31700170","2D5Qk770yP62YUtNE6ezZt"
"Rock It - Original Mix","oneBYone","Trust Me","Favorite Songs","Favorite","USLZJ1398728","1IvjafuhEWcn0bBQ5NV0po"
"Я не ходил на каратэ","Mad Show Boys","Включите улыбальнички","Favorite Songs","Favorite","FR2X41544481","7kDPFFsIMJksFF1XdhGEOv"
"Die Nacht Mein Freund","Serum 114","Die Nacht Mein Freund (Digital Deluxe Edition)","Favorite Songs","Favorite","ATN261667801","3lrcgyzznX0TEdmBzQUbSe"
"Jump The Fence","Mother Mother","Very Good Bad Thing","Favorite Songs","Favorite","CAUM71400321","7wf5vZmZezxCP5bc0LZBXP"
"Big Bad Wolf","Scratch21","Big Bad Wolf","Favorite Songs","Favorite","TCAFW2176915","4KMaU6ZpAs168WMBp4xb1R"
"Breathe","The Prodigy","The Fat of the Land","Favorite Songs","Favorite","GBBKS9700074","0Ja4hLKiUSw01E01pJ1yGr"
"Smack My Bitch Up","The Prodigy","The Fat of the Land","Favorite Songs","Favorite","GBBKS9700073","48vDCZIRmrFO33fH4QU4ij"
"What Do They Know?","Mindless Self Indulgence","You'll Rebel to Anything (Expanded and Remastered 2008)","Favorite Songs","Favorite","US68L0500006","5abubE0dYFaEPDeM2sZ4TY"
"Canoe","Rare Americans","Canoe","Favorite Songs","Favorite","CAGXI1800020","0M2qxkcwh3wdHAbrWqHZJR"
